codigo,actividad,actividad_corta,sector_code,dane_groups,group_order,pib_2010_billones,pib_2025_billones,crec_pib,ocupados_2010_millones,ocupados_2025_millones,crec_ocupados,horas_2010_millones,horas_2025_millones,crec_horas,horas_semanales_2010,horas_semanales_2025,crec_horas_semanales,pib_trabajador_2010,pib_trabajador_2025,crec_pib_trabajador,pib_hora_2010,pib_hora_2025,crec_pib_hora
078-080,Alojamiento y comida,Alojamiento y comida,G+H+I,078-080,49,23.796,40.636968158629095,0.036321454440124024,0.8633264591965569,1.7338397050460201,0.04758416755364192,2082.022343586752,3788.3715873850188,0.040713398029804226,46.37746335272037,42.018474686776486,-0.006558680186893762,27.56315382960164,23.43755771676165,-0.010751129563001172,11.429272156131638,10.726764051854634,-0.004220127844990484
081-084,Información y comunicaciones,Información y comunicaciones,J,081-084,50,18.256,31.286882674260237,0.03656636156932591,0.40203719671318544,0.3980526886598733,-0.0006637951495040983,1036.6648433615073,919.0652119031901,-0.007994993876412115,49.58710919119005,44.401988735819266,-0.007336068373510751,45.40873369242967,78.59985264662826,0.03725488633167218,17.61032036236782,34.04207043096725,0.044920494524385735
085-088,Financieras y seguros,Financieras y seguros,K,085-088,51,22.312,53.11234172668485,0.05952318170777726,0.22083495304202078,0.4265539778314568,0.044865554348358705,519.1663267347093,980.1794132171772,0.043277731000169295,45.21008873048085,44.19043094184513,-0.001519643691555883,101.03473065585972,124.5149371169878,0.014028242483847597,42.97659314757772,54.18634691822161,0.015571549382189742
089,Inmobiliarias,Inmobiliarias,L,089,52,59.932,90.07380494244305,0.02753348280988499,0.2140472855106472,0.316513852209824,0.02642101005844233,568.8990699556783,753.4824241680412,0.01891008344358891,51.11191531262232,45.780134163007844,-0.007317588534577646,279.99420715390875,284.58092533255433,0.0010838366913195063,105.34733341130118,119.54333910561772,0.008463356587022464
090-093,"Profesionales, científicas y técnicas","Profesionales, científicas y técnicas",M+N,090-093,53,21.757,31.19124967170415,0.024304115269939475,0.2979814468604262,0.5706437187215897,0.04426740174055066,678.3349166535063,1238.6722253818268,0.04096025614796628,43.777565283944874,41.74341876967735,-0.00316695281981616,73.0146129204847,54.65976168384321,-0.01911702542599436,32.07412660892626,25.181197279279665,-0.01600074621452141
094-097,Servicios administrativos y de apoyo,Servicios administrativos y de apoyo,M+N,094-097,54,23.6,38.84395535022218,0.03377834256751866,0.5374202901603286,1.0802402302210108,0.04764405420849105,1150.7587786413499,2159.1023212955192,0.042843796076082574,41.17815593775147,38.43700440406418,-0.004581955210002375,43.91348899938151,35.95862685309816,-0.013235136099205125,20.50820766091698,17.990789490196445,-0.008693011880278267
"098,099",Administración pública y defensa,Administración pública y defensa,O+P+Q,"098,099",55,31.284,62.72372487733989,0.04746769464251033,0.49884721863817183,0.8122684920920301,0.03303603269687505,1321.2151061208135,1950.6872533782725,0.02631562553406619,50.93339575868174,46.18327163534786,-0.0065054915318533135,62.71258780474665,77.22043325328602,0.013970143817694014,23.678203386466087,32.15468023831735,0.020609711654187457
100|101,Educación de mercado; Educación de no mercado,Educación de mercado; Educación de no mercado,O+P+Q,100; 101,56,31.079,52.82731031154428,0.03599922577879022,0.7473729246987799,1.0075592241345608,0.020114407949813007,1455.2109422454687,2046.5668738305994,0.02299457957667972,37.444259602649936,39.06177852699296,0.0028233809898394746,41.58432687741001,52.43097283628176,0.015571604229080549,21.357041166858895,25.812647994573645,0.012712331484192152
"102,103",Salud y servicios sociales,Salud y servicios sociales,O+P+Q,"102,103",58,23.573,49.78863414168853,0.051108844405916454,0.6990246415635623,1.0133705095546737,0.025065739393616004,1599.1026536119466,2342.3624768340856,0.02577438647176611,43.992689641293246,44.451098410792106,0.0006913186646635427,33.72270246049189,49.13171803624735,0.025406277872194183,14.741392584619177,21.255734171844473,0.02469788509858417
104-108,"Arte, recreación y otros servicios","Arte, recreación y otros servicios",R+S,104-108,59,10.994,40.570915803534106,0.09094771894553455,0.9658754278311716,1.235100196529484,0.016526578167798123,1975.107050784134,2541.8184716848873,0.0169593481221455,39.32476881100864,39.57664697392972,0.00042573402766055146,11.38242022026227,32.84827896354853,0.07321120999302755,5.566280569772302,15.961374211212254,0.0727545018982434
109,Hogares como empleadores,Hogares como empleadores,T,109,60,4.276,6.72433785508047,0.030641095210144353,0.6723325600844939,0.7159043419566725,0.004195005051401246,1604.6949405408932,1508.0520226674012,-0.0041324314778707905,45.89918727637802,40.50960266094704,-0.008292648825559357,6.359947820261186,9.392788199470699,0.026335612132814434,2.6646809259326836,4.4589561593416684,0.03491782219559503
