indicador,unidad,valor_2010,valor_2025,crecimiento_anualizado,codigo,actividad
PIB real,Billones de pesos de 2015,23.573,49.78863414168853,0.051108844405916454,Q,Salud y servicios sociales
Ocupados,Millones de personas,0.6990246415635624,1.0133705095546737,0.025065739393616004,Q,Salud y servicios sociales
PIB por trabajador,Millones de pesos de 2015 por ocupado,33.72270246049188,49.13171803624735,0.025406277872194183,Q,Salud y servicios sociales
Horas semanales por trabajador,Horas por semana,43.992689641293246,44.451098410792106,0.0006913186646635427,Q,Salud y servicios sociales
PIB por hora trabajada,Miles de pesos de 2015 por hora,14.741392584619176,21.255734171844473,0.02469788509858417,Q,Salud y servicios sociales
PIB real,Billones de pesos de 2015,10.994,40.570915803534106,0.09094771894553455,R+S,"Arte, recreación y otros servicios"
Ocupados,Millones de personas,0.9658754278311716,1.235100196529484,0.016526578167798123,R+S,"Arte, recreación y otros servicios"
PIB por trabajador,Millones de pesos de 2015 por ocupado,11.38242022026227,32.84827896354853,0.07321120999302755,R+S,"Arte, recreación y otros servicios"
Horas semanales por trabajador,Horas por semana,39.32476881100864,39.576646973929726,0.00042573402766055146,R+S,"Arte, recreación y otros servicios"
PIB por hora trabajada,Miles de pesos de 2015 por hora,5.566280569772302,15.961374211212252,0.0727545018982434,R+S,"Arte, recreación y otros servicios"
PIB real,Billones de pesos de 2015,4.276,6.72433785508047,0.030641095210144353,T,Hogares como empleadores
Ocupados,Millones de personas,0.6723325600844939,0.7159043419566725,0.004195005051401246,T,Hogares como empleadores
PIB por trabajador,Millones de pesos de 2015 por ocupado,6.359947820261186,9.392788199470699,0.026335612132814434,T,Hogares como empleadores
Horas semanales por trabajador,Horas por semana,45.89918727637802,40.50960266094704,-0.008292648825559357,T,Hogares como empleadores
PIB por hora trabajada,Miles de pesos de 2015 por hora,2.6646809259326836,4.4589561593416684,0.03491782219559503,T,Hogares como empleadores
