sector_code,sector_name,anio,pib_miles_millones_2015,ocupados,horas_sem_expandidas,horas_anuales,sector_name_short,pib_pesos_2015,pib_por_trabajador_millones_2015,pib_por_hora_pesos_2015,sector_order
B,Explotación de minas y canteras,2024,37168.0,279681.8355761561,13067981.786497824,679535052.8978869,Minas,37168000000000.0,132.8938646424155,54696.22183800017,1
B,Explotación de minas y canteras,2025,34717.51991331087,299823.92017377104,13782698.184378482,716700305.587681,Minas,34717519913310.867,115.79302909917726,48440.77732720253,1
C,Industrias manufactureras,2010,87980.0,2193774.6573702623,102402414.91753876,5324925575.712015,Manufactura,87980000000000.0,40.10439253841324,16522.296649796062,2
C,Industrias manufactureras,2011,92896.0,2280972.521240952,106024331.18991882,5513265221.875778,Manufactura,92896000000000.0,40.72648799357758,16849.543104039894,2
C,Industrias manufactureras,2012,93667.0,2305822.469224992,106865003.05679445,5556980158.953311,Manufactura,93667000000000.0,40.62194780827265,16855.737706582477,2
C,Industrias manufactureras,2013,95081.0,2195096.04601299,101674070.06566264,5287051643.414457,Manufactura,95081000000000.0,43.31518895161699,17983.74716434494,2
C,Industrias manufactureras,2014,97829.0,2216010.1033594185,103508809.38561265,5382458088.051858,Manufactura,97829000000000.0,44.14645937385104,18175.52471372954,2
C,Industrias manufactureras,2015,99789.00000000001,2244015.2742473604,104129555.03732704,5414736861.941006,Manufactura,99789000000000.02,44.46894864985672,18429.150399051698,2
C,Industrias manufactureras,2016,103006.0,2164413.2163626915,100669077.14232619,5234792011.400962,Manufactura,103006000000000.0,47.590727695288315,19677.19056949371,2
C,Industrias manufactureras,2017,101135.0,2151565.731483508,99760297.13815893,5187535451.184264,Manufactura,101135000000000.0,47.00530340305581,19495.770381079874,2
C,Industrias manufactureras,2018,102627.00000000001,2182860.0383411837,99871851.68137677,5193336287.431592,Manufactura,102627000000000.02,47.014924547333386,19761.28529330325,2
C,Industrias manufactureras,2019,103859.99999999999,2197108.8293074206,100565579.92432243,5229410156.064766,Manufactura,103859999999999.98,47.27121324833921,19860.748516646603,2
C,Industrias manufactureras,2021,107066.0,1808061.820982233,81433990.90728441,4234567527.178789,Manufactura,107066000000000.0,59.2158955836124,25283.809813591746,2
C,Industrias manufactureras,2022,115802.0,2218581.9873678684,101742963.27491927,5290634090.295802,Manufactura,115802000000000.0,52.19640322483092,21888.11360294347,2
C,Industrias manufactureras,2023,113925.0,2285216.2372041936,103799170.79010662,5397556881.085545,Manufactura,113925000000000.0,49.853050291371765,21106.771546812797,2
C,Industrias manufactureras,2024,111003.0,2327122.6457618573,104423481.0888069,5430021016.617959,Manufactura,111003000000000.0,47.69967762642766,20442.462314655506,2
C,Industrias manufactureras,2025,113083.04604193503,2513307.38999058,111349558.75271341,5790177055.141097,Manufactura,113083046041935.03,44.99371883132802,19530.153389960436,2
D+E,"Suministro de electricidad, gas, vapor y aire acondicionado; Distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental",2010,21935.0,124267.10240365972,6027231.043761795,313416014.27561337,Servicios públicos,21935000000000.0,176.51493899606695,69986.85134420314,3
D+E,"Suministro de electricidad, gas, vapor y aire acondicionado; Distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental",2011,22608.0,138377.9924087704,6647770.337466309,345684057.54824805,Servicios públicos,22608000000000.0,163.3785807010097,65400.75975833667,3
D+E,"Suministro de electricidad, gas, vapor y aire acondicionado; Distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental",2012,23094.000000000004,132311.82183405283,6301706.051397657,327688714.6726782,Servicios públicos,23094000000000.004,174.5422266875351,70475.42062310003,3
D+E,"Suministro de electricidad, gas, vapor y aire acondicionado; Distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental",2013,23950.0,141980.8099602024,6757431.53660305,351386439.90335864,Servicios públicos,23950000000000.0,168.6847680803712,68158.57779425677,3
D+E,"Suministro de electricidad, gas, vapor y aire acondicionado; Distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental",2014,24773.0,152341.34532210368,7294732.513576381,379326090.70597184,Servicios públicos,24773000000000.0,162.61507962674926,65307.92531010573,3
D+E,"Suministro de electricidad, gas, vapor y aire acondicionado; Distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental",2015,24599.000000000004,167174.73687149014,7726908.783600845,401799256.74724394,Servicios públicos,24599000000000.004,147.14543872086153,61222.11424466189,3
D+E,"Suministro de electricidad, gas, vapor y aire acondicionado; Distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental",2016,24597.0,153213.06773341307,7140856.494514704,371324537.7147646,Servicios públicos,24597000000000.0,160.54113636571893,66241.24586911719,3
D+E,"Suministro de electricidad, gas, vapor y aire acondicionado; Distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental",2017,25307.0,163993.26374967274,7614811.023721844,395970173.2335359,Servicios públicos,25307000000000.0,154.31731414669466,63911.379469166226,3
